dw_date,2020,2021,2022,2023,2024,20-yr avg.
01/01/2050,102.0,90.7,156.0,67.2,82.0,380.245
01/02/2050,102.0,69.7,144.0,68.9,101.0,385.86499999999995
01/03/2050,102.0,67.5,138.0,66.7,137.0,403.445
01/04/2050,98.3,75.7,141.0,62.7,99.5,406.785
01/05/2050,97.5,96.8,142.0,60.8,91.2,388.91999999999996
01/06/2050,95.7,111.0,141.0,60.5,79.7,343.91
01/07/2050,93.4,107.0,133.0,61.8,75.7,336.77
01/08/2050,93.4,95.7,142.0,62.4,98.4,339.48
01/09/2050,96.3,80.1,144.0,58.9,94.9,343.995
01/10/2050,103.0,94.8,137.0,60.9,87.5,334.75
01/11/2050,96.3,94.6,134.0,57.4,83.1,319.515
01/12/2050,100.0,78.1,137.0,55.5,81.6,310.13
01/13/2050,100.0,82.0,141.0,53.9,75.0,327.56000000000006
01/14/2050,102.0,82.7,134.0,55.6,77.0,323.88
01/15/2050,104.0,79.7,131.0,56.7,74.3,321.15500000000003
01/16/2050,102.0,79.6,127.0,56.7,72.8,342.755
01/17/2050,104.0,77.5,128.0,54.4,71.8,342.90500000000003
01/18/2050,105.0,76.1,130.0,54.0,72.3,345.885
01/19/2050,98.8,77.7,129.0,52.0,71.3,326.945
01/20/2050,107.0,76.5,126.0,47.8,65.2,311.68
01/21/2050,108.0,52.6,127.0,52.7,68.2,298.3
01/22/2050,127.0,59.5,129.0,44.3,803.0,323.21999999999997
01/23/2050,122.0,60.7,128.0,43.7,304.0,364.77
01/24/2050,124.0,64.3,129.0,53.9,316.0,361.875
01/25/2050,116.0,63.3,127.0,51.0,409.0,393.775
01/26/2050,115.0,68.2,109.0,46.0,316.0,376.11
01/27/2050,112.0,75.2,127.0,52.1,,375.325
01/28/2050,116.0,68.8,116.0,54.3,,378.665
01/29/2050,111.0,64.5,109.0,56.6,,393.35
01/30/2050,122.0,63.1,106.0,53.5,,391.925
01/31/2050,112.0,60.0,114.0,51.8,,376.84
02/01/2050,119.0,57.4,111.0,87.8,,378.075
02/02/2050,121.0,52.1,116.0,92.9,,366.13500000000005
02/03/2050,122.0,48.8,292.0,84.0,,376.305
02/04/2050,124.0,46.0,229.0,80.7,,379.43500000000006
02/05/2050,114.0,46.7,198.0,78.6,,366.48
02/06/2050,109.0,50.1,172.0,77.1,,361.425
02/07/2050,112.0,55.0,159.0,92.5,,348.745
02/08/2050,112.0,57.0,153.0,103.0,,349.625
02/09/2050,117.0,56.2,143.0,92.3,,337.57
02/10/2050,117.0,55.2,138.0,84.7,,329.36
02/11/2050,113.0,68.8,134.0,80.3,,313.765
02/12/2050,137.0,72.0,127.0,81.0,,307.20500000000004
02/13/2050,129.0,62.4,121.0,80.4,,311.015
02/14/2050,125.0,62.6,119.0,82.4,,359.835
02/15/2050,123.0,67.8,118.0,90.0,,568.22
02/16/2050,124.0,66.2,117.0,88.3,,565.235
02/17/2050,124.0,78.6,117.0,74.5,,571.355
02/18/2050,121.0,106.0,114.0,72.4,,502.105
02/19/2050,119.0,107.0,113.0,75.0,,369.09499999999997
02/20/2050,121.0,107.0,112.0,75.1,,357.025
02/21/2050,119.0,111.0,109.0,74.3,,353.53499999999997
02/22/2050,118.0,113.0,105.0,70.1,,352.44
02/23/2050,120.0,115.0,102.0,65.2,,385.885
