dw_date,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01/01/2050,663.46,676.72,684.8,694.75,679.44,697.33,,666.1,689.19,669.72,670.1,671.46,653.82,651.49,640.07,633.79,666.7,685.35,666.1,686.42,671.94,663.78,663.84,637.61,639.3
01/02/2050,663.9,676.59,684.68,694.64,679.44,697.29,,666.0,689.1,669.49,670.4,671.57,653.41,651.41,640.69,634.04,666.37,685.41,665.94,686.2,672.13,663.88,663.63,637.4,639.16
01/03/2050,663.92,676.38,684.4,694.41,679.42,697.02,677.49,665.84,688.98,669.92,670.3,671.3,652.93,651.03,640.87,634.41,666.69,685.51,665.62,686.32,671.81,664.03,663.25,637.16,639.82
01/04/2050,663.56,676.4,684.22,694.35,679.27,697.03,677.13,666.96,688.88,669.8,669.89,671.26,653.12,651.15,640.99,634.73,667.7,685.12,665.09,686.5,671.69,663.86,663.02,636.72,639.85
01/05/2050,663.44,676.45,684.51,694.43,678.96,697.04,677.09,667.88,688.99,669.54,669.62,671.39,652.99,651.84,641.71,634.93,667.55,684.81,664.44,686.72,671.66,663.82,662.89,636.41,640.08
01/06/2050,663.6,676.52,684.46,694.06,678.86,696.99,676.94,668.43,689.04,669.63,669.58,671.19,652.63,651.87,642.07,634.73,667.56,684.62,664.79,686.63,671.55,663.74,662.87,636.17,640.28
01/07/2050,663.87,676.6,684.19,693.85,678.9,696.95,677.17,668.64,688.66,669.83,669.42,671.08,653.1,651.45,641.55,636.23,667.68,684.37,664.84,686.9,671.2,663.76,662.73,636.58,640.12
01/08/2050,664.57,676.37,684.02,693.98,679.08,696.89,676.98,667.93,688.57,669.98,668.85,671.33,653.19,651.77,642.04,636.78,667.94,683.95,665.14,686.75,670.95,663.48,662.86,636.67,
01/09/2050,665.15,676.35,684.0,694.01,679.04,696.96,676.45,667.7,688.5,669.74,668.85,672.11,652.9,654.25,642.57,637.59,667.77,683.88,664.83,686.64,670.74,663.67,663.22,636.27,
01/10/2050,664.96,676.58,683.98,693.74,678.98,696.68,676.39,667.51,688.62,669.56,668.25,672.53,652.84,654.89,642.75,638.09,668.2,683.66,664.77,686.73,670.92,664.44,663.19,636.18,
01/11/2050,664.91,677.36,683.82,693.87,679.0,696.62,676.3,667.63,688.54,670.02,667.96,673.14,652.68,655.65,643.0,638.68,668.74,683.66,664.69,686.62,671.02,664.54,663.19,636.23,
01/12/2050,664.97,677.75,683.83,693.99,678.84,696.55,676.49,667.51,688.68,669.86,667.77,672.87,652.44,656.23,643.39,639.62,668.5,683.67,664.93,686.56,671.49,664.74,663.2,635.97,
01/13/2050,664.83,678.42,683.75,693.92,678.71,696.38,676.27,667.77,688.65,669.66,667.94,673.09,652.12,656.35,643.86,639.48,668.41,683.52,664.31,686.88,671.4,664.85,662.93,636.05,
01/14/2050,664.64,678.7,683.52,694.07,678.77,696.17,676.43,668.26,688.35,669.72,668.3,673.01,652.2,655.97,643.57,639.33,667.41,683.39,664.66,687.01,671.57,664.99,662.8,636.58,
01/15/2050,664.74,678.76,683.35,693.93,679.03,696.23,676.6,668.45,688.37,669.53,671.01,673.39,652.53,655.69,643.48,639.5,667.66,683.33,664.61,686.78,671.63,665.18,662.98,636.85,
01/16/2050,664.95,678.77,683.2,694.04,679.5,696.16,676.69,668.84,688.72,669.39,672.64,674.06,652.54,655.55,642.91,639.93,667.82,683.59,664.38,686.85,671.51,665.11,663.03,636.77,
01/17/2050,664.79,678.9,683.14,693.85,680.3,696.12,676.39,669.54,688.51,669.8,673.61,674.24,652.07,655.39,642.96,639.76,667.69,683.99,664.18,686.8,671.74,665.29,662.87,636.37,
01/18/2050,664.54,679.04,683.07,694.03,680.55,695.71,676.46,669.89,688.57,670.02,674.11,674.46,651.88,655.22,643.21,640.14,667.83,684.48,663.44,686.73,672.35,665.2,663.2,636.24,
01/19/2050,664.67,679.23,683.17,693.98,680.75,695.79,676.47,670.41,688.75,669.71,674.97,674.36,651.99,655.84,643.59,640.27,667.4,684.89,663.47,686.73,672.41,664.68,662.89,635.56,
01/20/2050,664.36,679.46,683.14,693.99,680.63,695.8,676.65,671.07,688.74,669.38,675.71,674.46,651.97,655.73,643.52,640.34,667.08,685.35,663.93,686.9,672.34,665.14,662.89,636.04,
01/21/2050,664.11,679.59,682.97,693.75,680.68,695.69,676.35,671.41,688.76,669.25,676.04,674.28,652.52,655.37,643.53,639.97,666.76,685.6,664.19,686.85,672.25,665.23,662.51,636.26,
01/22/2050,664.51,679.56,682.7,693.72,680.63,695.61,676.93,671.16,688.68,669.36,676.08,674.5,652.88,654.72,642.69,639.85,666.76,685.89,664.69,686.88,672.48,665.19,662.88,636.5,
01/23/2050,664.42,679.71,682.78,693.62,680.53,695.42,676.94,670.59,688.64,669.19,676.26,674.47,652.32,654.69,643.17,642.21,666.41,685.97,664.44,686.65,673.0,665.44,663.14,636.04,
01/24/2050,663.76,679.79,682.65,693.47,680.8,695.28,676.75,670.49,688.75,669.24,676.0,674.32,652.46,654.61,643.16,643.59,666.51,685.98,664.1,686.46,672.93,665.77,662.81,636.52,
01/25/2050,663.74,679.75,682.56,693.68,681.18,695.04,676.84,671.05,688.67,669.44,675.62,673.94,655.71,654.49,642.85,644.47,666.83,685.87,663.78,686.48,673.21,665.88,662.46,636.69,
01/26/2050,663.69,679.83,682.77,693.79,680.94,694.71,676.79,671.61,688.89,669.11,675.3,673.69,656.79,654.82,643.21,644.78,666.33,685.63,663.83,686.44,673.45,665.75,662.42,636.64,
